cityname,imagename,label,confidence,mid
New York City,nycgov_10549720_1633897386871299_889532150_n.jpg,Cityscape,0.994022905826569,/m/034z7h
New York City,nycgov_10549720_1633897386871299_889532150_n.jpg,City,0.993568181991577,/m/01n32
New York City,nycgov_10549720_1633897386871299_889532150_n.jpg,Skyscraper,0.993497848510742,/m/079cl
New York City,nycgov_10549720_1633897386871299_889532150_n.jpg,Metropolitan area,0.993252635002136,/m/0j_s4
New York City,nycgov_10549720_1633897386871299_889532150_n.jpg,Metropolis,0.992684721946716,/m/056mk
New York City,nycgov_10549720_1633897386871299_889532150_n.jpg,Urban area,0.990639925003052,/m/039jbq
New York City,nycgov_10549720_1633897386871299_889532150_n.jpg,Skyline,0.982834041118622,/m/0204fg
New York City,nycgov_10549720_1633897386871299_889532150_n.jpg,Tower block,0.981372654438019,/m/0vlys
New York City,nycgov_10549720_1633897386871299_889532150_n.jpg,Daytime,0.97087424993515,/m/02q7ylj
New York City,nycgov_10549720_1633897386871299_889532150_n.jpg,Tower,0.955807089805603,/m/01fdzj
New York City,nycgov_11856772_1688465581366819_876144248_n.jpg,Iron,0.860629260540008,/m/025rw19
New York City,nycgov_11856772_1688465581366819_876144248_n.jpg,Lighting,0.854591429233551,/m/019sc6
New York City,nycgov_11856772_1688465581366819_876144248_n.jpg,Architecture,0.843872606754303,/m/03nfmq
New York City,nycgov_11856772_1688465581366819_876144248_n.jpg,Window,0.843742728233337,/m/0d4v4
New York City,nycgov_11856772_1688465581366819_876144248_n.jpg,Interior design,0.793872356414795,/m/02rfdq
New York City,nycgov_11856772_1688465581366819_876144248_n.jpg,Glass,0.78189754486084,/m/039jq
New York City,nycgov_11856772_1688465581366819_876144248_n.jpg,Building,0.761200666427612,/m/0cgh4
New York City,nycgov_11856772_1688465581366819_876144248_n.jpg,Room,0.744431614875793,/m/06ht1
New York City,nycgov_11856772_1688465581366819_876144248_n.jpg,Tints and shades,0.673235177993774,/m/02q_bfg
New York City,nycgov_11856772_1688465581366819_876144248_n.jpg,Night,0.575429141521454,/m/01d74z
New York City,nycgov_43425318_309771982963614_9156172920454957186_n.jpg,Bottle,0.841975450515747,/m/04dr76w
New York City,nycgov_43425318_309771982963614_9156172920454957186_n.jpg,Tower,0.613747179508209,/m/01fdzj
New York City,nycgov_43425318_309771982963614_9156172920454957186_n.jpg,Wine bottle,0.611801326274872,/m/020p1v
New York City,nycgov_43425318_309771982963614_9156172920454957186_n.jpg,Skyscraper,0.574229896068573,/m/079cl
New York City,nycgov_43425318_309771982963614_9156172920454957186_n.jpg,City,0.51347553730011,/m/01n32
New York City,nycgov_11274365_394783780708927_1060112419_n.jpg,Sky,0.987723410129547,/m/01bqvp
New York City,nycgov_11274365_394783780708927_1060112419_n.jpg,City,0.978592455387116,/m/01n32
New York City,nycgov_11274365_394783780708927_1060112419_n.jpg,Skyline,0.969353377819061,/m/0204fg
New York City,nycgov_11274365_394783780708927_1060112419_n.jpg,Cityscape,0.966907501220703,/m/034z7h
New York City,nycgov_11274365_394783780708927_1060112419_n.jpg,Metropolitan area,0.966552138328552,/m/0j_s4
New York City,nycgov_11274365_394783780708927_1060112419_n.jpg,Night,0.96288675069809,/m/01d74z
New York City,nycgov_11274365_394783780708927_1060112419_n.jpg,Water,0.951257824897766,/m/0838f
New York City,nycgov_11274365_394783780708927_1060112419_n.jpg,Human settlement,0.926415324211121,/m/0fpdgl
New York City,nycgov_11274365_394783780708927_1060112419_n.jpg,Cloud,0.925592720508575,/m/0csby
New York City,nycgov_11274365_394783780708927_1060112419_n.jpg,Urban area,0.918641746044159,/m/039jbq
New York City,nycgov_11312540_1668607356706398_1599237985_n.jpg,Bridge,0.976920247077942,/m/015kr
New York City,nycgov_11312540_1668607356706398_1599237985_n.jpg,Water,0.964334189891815,/m/0838f
New York City,nycgov_11312540_1668607356706398_1599237985_n.jpg,Sky,0.962654769420624,/m/01bqvp
New York City,nycgov_11312540_1668607356706398_1599237985_n.jpg,Landmark,0.931707203388214,/m/05_5t0l
New York City,nycgov_11312540_1668607356706398_1599237985_n.jpg,River,0.900296211242676,/m/06cnp
New York City,nycgov_11312540_1668607356706398_1599237985_n.jpg,Suspension bridge,0.890779316425324,/m/0csy8
New York City,nycgov_11312540_1668607356706398_1599237985_n.jpg,City,0.830118358135223,/m/01n32
